basht,https://gitlab.com/christosangel/basht,shell
broot,https://github.com/Canop/broot,rust
bt,https://github.com/LeperGnome/bt,go
cfiles,https://github.com/mananapr/cfiles,c
cli-file-manager,https://github.com/0l1v3rr/cli-file-manager,go
clifm,https://github.com/leo-arch/clifm,c
croco,https://github.com/generalsuslik/croco,c
C-Terminal-Based-File-Manager,https://github.com/FatihArslan-cmd/C-Terminal-Based-File-Manager,c
dfm,https://github.com/cglindkamp/dfm,c
dusty,https://gitlab.com/pedrotbhc/dusty,rust
f3,https://codeberg.org/lukeflo/f3,shell
fen,https://github.com/kivattt/fen,go
fff,https://github.com/dylanaraps/fff,shell
ff,https://github.com/skanehira/ff,go
fman,https://github.com/nore-dev/fman,go
fm.awk,https://github.com/huijunchen9260/fm.awk,awk
fm,https://github.com/mistakenelf/fm,go
ftl,https://github.com/nkh/ftl,shell
fzf-filemanager,https://github.com/sc0ttj/fzf-filemanager,shell
fzffm,https://gitlab.com/christosangel/fzffm,shell
gls,https://github.com/ozansz/gls,go
helios-compass,https://codeberg.org/hellfire103/helios-compass,python
jafff,https://codeberg.org/lukeflo/jafff,rust
joshuto,https://github.com/kamiyaa/joshuto,rust
lake,https://sr.ht/~lo/lake,shell
lf,https://github.com/gokcehan/lf,go
lll,https://github.com/zautumnz/lll,rust
mcm,https://gitlab.com/openbsd98324/mcm,c
MidnightCommander,https://github.com/MidnightCommander/mc,c
Minase,https://github.com/SAT1226/Minase,cpp
name,link,language
nfm,https://sr.ht/~leon_plickat/nfm,zig
nimmm,https://github.com/joachimschmidt557/nimmm,nim
nnn,https://github.com/jarun/nnn,c
projectable,https://github.com/dzfrias/projectable,rust
racket-tfm,https://gitlab.com/xgqt/racket-tfm,racket
radium,https://codeberg.org/devts/radium,c
ranger,https://github.com/ranger/ranger,python
rovr,https://github.com/NSPC911/rovr,python
RTFM,https://github.com/isene/RTFM,ruby
sff,https://codeberg.org/sylphenix/sff,c
sfm,https://github.com/afify/sfm,c
simple-tui-file-manager,https://gitlab.com/PTOM76/simple-tui-file-manager,rust
superfile,https://github.com/yorukot/superfile,go
terminal-file-manager,https://gitlab.com/Limak01/terminal-file-manager,c
termix,https://github.com/amrohan/termix,c#
tfex-rs,https://github.com/PorkSausages/tfex-rs,rust
TUIFIManager,https://github.com/GiorgosXou/TUIFIManager,python
twilight-commander,https://github.com/golmman/twilight-commander,rust
veld-fm,https://github.com/BranBushes/veld-fm,python
vifm,https://github.com/vifm/vifm,c
w6-filemanager,https://gitlab.com/SteinarP/w6-filemanager,java
walk,https://github.com/antonmedv/walk,go
yazi,https://github.com/sxyazi/yazi,rust
